epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1
1,1.5427833577943226,0.42777777777777776,0.7347344892996329,0.825,0.8273451910162984
2,0.4229015143617751,0.8706349206349207,0.09691274795267317,0.9842592592592593,0.9842412350342383
3,0.120460867810817,0.9648809523809524,0.018222130945435278,1.0,1.0
4,0.05178878652671027,0.9871031746031746,0.003922943644984453,1.0,1.0
5,0.02703635829781729,0.9950396825396826,0.001153997747072329,1.0,1.0
6,0.017271020363957165,0.996031746031746,0.0005978532426524907,1.0,1.0
7,0.011191867846286013,0.9974206349206349,0.0003034450848914545,1.0,1.0
8,0.012500175746482989,0.9972222222222222,0.0003521737124106881,1.0,1.0
9,0.007573748178159197,0.9990079365079365,0.00017423495530103402,1.0,1.0
10,0.005675841921511742,0.9990079365079365,0.00010287557961419225,1.0,1.0
11,0.004155531622809432,0.9994047619047619,7.048200467478536e-05,1.0,1.0
12,0.0034697340908534232,0.9992063492063492,5.289616573362663e-05,1.0,1.0
