threshold,accuracy,precision,recall,f1_score,caveat
0.45,0.6666666666666666,0.6666666666666666,1.0,0.8,Exploratory only: threshold analysis uses 3 test rows.
0.46,0.6666666666666666,0.6666666666666666,1.0,0.8,Exploratory only: threshold analysis uses 3 test rows.
0.47,0.6666666666666666,0.6666666666666666,1.0,0.8,Exploratory only: threshold analysis uses 3 test rows.
0.48,0.6666666666666666,0.6666666666666666,1.0,0.8,Exploratory only: threshold analysis uses 3 test rows.
0.49,0.6666666666666666,0.6666666666666666,1.0,0.8,Exploratory only: threshold analysis uses 3 test rows.
0.5,0.6666666666666666,0.6666666666666666,1.0,0.8,Exploratory only: threshold analysis uses 3 test rows.
0.51,0.6666666666666666,0.6666666666666666,1.0,0.8,Exploratory only: threshold analysis uses 3 test rows.
0.52,0.3333333333333333,0.0,0.0,0.0,Exploratory only: threshold analysis uses 3 test rows.
0.53,0.3333333333333333,0.0,0.0,0.0,Exploratory only: threshold analysis uses 3 test rows.
0.54,0.3333333333333333,0.0,0.0,0.0,Exploratory only: threshold analysis uses 3 test rows.
0.55,0.3333333333333333,0.0,0.0,0.0,Exploratory only: threshold analysis uses 3 test rows.
0.56,0.3333333333333333,0.0,0.0,0.0,Exploratory only: threshold analysis uses 3 test rows.
